Bab,Fasl,Madda,Text,Bab_name,fasl_name
2,1,20," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (٢٠)
تلتزم الدولة بتشجيع التعليم الفني والتقني والتدريب المهنى وتطويره، والتوسع فى أنواعه كافة، وفقا لمعايير الجودة العالمية، وبما يتناسب مع احتياجات سوق العمل.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,1,21," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (٢١)
تكفل الدولة استقلال الجامعات والمجامع العلمية واللغوية، وتوفير التعليم الجامعى وفقًا لمعايير الجودة العالمية، وتعمل على تطوير التعليم الجامعى وتكفل مجانيته فى جامعات الدولة ومعاهدها، وفقا للقانون.

وتلتزم الدولة بتخصيص نسبة من الإنفاق الحكومى للتعليم الجامعى لا تقل عن ٢٪ من الناتج القومى الإجمالى تتصاعد تدريجيا حتى تتفق مع المعدلات العالمية.

وتعمل الدولة على تشجيع إنشاء الجامعات الأهلية التى لا تستهدف الربح، وتلتزم الدولة بضمان جودة التعليم فى الجامعات الخاصة والأهلية والتزامها بمعايير الجودة العالمية، وإعداد كوادرها من أعضاء هيئات التدريس والباحثين، وتخصيص نسبة كافية من عوائدها لتطوير العملية التعليمية والبحثية.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,1,22," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (٢٢)
المعلمون، وأعضاء هيئة التدريس ومعاونوهم، الركيزة الأساسية للتعليم، تكفل الدولة تنمية كفاءاتهم العلمية، ومهاراتهم المهنية، ورعاية حقوقهم المادية والأدبية، بما يضمن جودة التعليم وتحقيق أهدافه.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,1,23," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (٢٣)
تكفل الدولة حرية البحث العلمى وتشجيع مؤسساته، باعتباره وسيلة لتحقيق السيادة الوطنية، وبناء اقتصاد المعرفة، وترعى الباحثين والمخترعين، وتخصص له نسبة من الإنفاق الحكومى لا تقل عن ١٪ من الناتج القومى الإجمالى تتصاعد تدريجيا حتى تتفق مع المعدلات العالمية.

كما تكفل الدولة سبل المساهمة الفعالة للقطاعين الخاص والأهلى وإسهام المصريين فى الخارج فى نهضة البحث العلمى.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,1,24," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (٢٤)
اللغة العربية والتربية الدينية والتاريخ الوطنى بكل مراحله مواد أساسية فى التعليم قبل الجامعى الحكومى والخاص، وتعمل الجامعات على تدريس حقوق الإنسان والقيم والأخلاق المهنية للتخصصات العلمية
المختلفة.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,1,25," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (٢٥)
تلتزم الدولة بوضع خطة شاملة للقضاء على الأمية الهجائية والرقمية بين المواطنين فى جميع الأعمار، وتلتزم بوضع آليات تنفيذها بمشاركة مؤسسات المجتمع المدنى، وذلك وفق خطة زمنية محددة.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,1,26," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (٢٦)
إنشاء الرتب المدنية محظور.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,2,27," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٢٧)
يهدف النظام الاقتصادى إلى تحقيق الرخاء فى البلاد من خلال التنمية المستديمة والعدالة الاجتماعية، بما يكفل رفع معدل النمو الحقيقى للاقتصاد القومى، ورفع مستوى المعيشة، وزيادة فرص العمل وتقليل معدلات البطالة، والقضاء على الفقر.

ويلتزم النظام الاقتصادى بمعايير الشفافية والحوكمة، ودعم محاور التنافسية وتشجيع الاستثمار، والنمو المتوازن جغرافيا وقطاعيا وبيئيا، ومنع الممارسات الاحتكارية، مع مراعاة الاتزان المالى والتجارى والنظام الضريبى العادل، وضبط آليات السوق، وكفالة الأنواع

المختلفة للملكية، والتوازن بين مصالح الأطراف المختلفة، بما يحفظ حقوق العاملين ويحمى المستهلك.

ويلتزم النظام الاقتصادى اجتماعياً بضمان تكافؤ الفرص والتوزيع العادل لعوائد التنمية وتقليل الفوارق بين الدخول والالتزام بحد أدنى للأجور والمعاشات يضمن الحياة الكريمة، وبحد أقصى فى أجهزة الدولة لكل من يعمل بأجر، وفقا للقانون.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,28," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٢٨)
الأنشطة الاقتصادية الإنتاجية والخدمية والمعلوماتية مقومات أساسية للاقتصاد الوطنى، وتلتزم الدولة بحمايتها، وزيادة تنافسيتها، وتوفير المناخ الجاذب للاستثمار، وتعمل على زيادة الإنتاج، وتشجيع التصدير، وتنظيم الاستيراد.

وتولى الدولة اهتماماً خاصاً بالمشروعات المتوسطة والصغيرة ومتناهية الصغر فى كافة المجالات، وتعمل على تنظيم القطاع غير الرسمى وتأهيله.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,29," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٢٩)
الزراعة مقوم أساسى للاقتصاد الوطنى.

وتلتزم الدولة بحماية الرقعة الزراعية وزيادتها، وتجريم الاعتداء عليها، كما تلتزم بتنمية الريف ورفع مستوى معيشة سكانه وحمايتهم من المخاطر البيئية، وتعمل على تنمية الإنتاج الزراعى والحيوانى، وتشجيع الصناعات التى تقوم عليهما.

وتلتزم الدولة بتوفير مستلزمات الإنتاج الزراعى والحيوانى، وشراء المحاصيل الزراعية الأساسية بسعر مناسب يحقق هامش ربح للفلاح، وذلك بالاتفاق مع الاتحادات والنقابات والجمعيات الزراعية، كما تلتزم الدولة بتخصيص نسبة من الأراضى المستصلحة لصغار الفلاحين وشباب الخريجين، وحماية الفلاح والعامل الزراعى من الاستغلال، وذلك كله على النحو الذى ينظمه القانون.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,30," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٣٠)
تلتزم الدولة بحماية الثروة السمكية وحماية ودعم الصيادين، وتمكينهم من مزاولة أعمالهم دون إلحاق الضرر بالنظم البيئية، وذلك على النحو الذى ينظمه القانون.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,31," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٣١)
أمن الفضاء المعلوماتى جزء أساسى من منظومة الاقتصاد والأمن القومى، وتلتزم الدولة باتخاذ التدابير اللازمة للحفاظ عليه، على النحو الذى ينظمه القانون.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,32," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٣٢)
موارد الدولة الطبيعية ملك للشعب، تلتزم الدولة بالحفاظ عليها، وحُسن استغلالها، وعدم استنزافها، ومراعاة حقوق الأجيال القادمة فيها.

كما تلتزم الدولة بالعمل على الاستغلال الأمثل لمصادر الطاقة المتجددة، وتحفيز الاستثمار فيها، وتشجيع البحث العلمي المتعلق بها. وتعمل الدولة على تشجيع تصنيع المواد الأولية، وزيادة قيمتها المضافة وفقاً للجدوى الاقتصادية.

ولا يجوز التصرف فى أملاك الدولة العامة، ويكون منح حق استغلال الموارد الطبيعية أو التزام المرافق العامة بقانون، ولمدة لا تتجاوز ثلاثين عاماً.

ويكون منح حق استغلال المحاجر والمناجم الصغيرة والملاحات، أو منح التزام المرافق العامة لمدة لا تتجاوز خمسة عشر عاما بناء على قانون.

ويحدد القانون أحكام التصرف فى أملاك الدولة الخاصة، والقواعد والإجراءات المنظمة لذلك.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,33," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٣٣)
تحمى الدولة الملكية بأنواعها الثلاثة، الملكية العامة، والملكية الخاصة، والملكية التعاونية.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,34," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٣٤)
للملكية العامة حرمة، لا يجوز المساس بها، وحمايتها واجب وفقًا للقانون.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,35," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٣٥)
الملكية الخاصة مصونة، وحق الإرث فيها مكفول، ولا يجوز فرض الحراسة عليها إلا فى الأحوال المبينة فى القانون، وبحكم قضائى، ولا تنزع الملكية إلا للمنفعة العامة ومقابل تعويض عادل يدفع مقدمًا وفقا للقانون.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,36," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٣٦)
تعمل الدولة على تحفيز القطاع الخاص لأداء مسؤليته الاجتماعية فى خدمة الاقتصاد الوطنى والمجتمع.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,37," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٣٧)
الملكية التعاونية مصونة، وترعى الدولة التعاونيات، ويكفل القانون حمايتها، ودعمها، ويضمن استقلالها.
ولا يجوز حلها أو حل مجالس إدارتها إلا بحكم قضائى.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,38," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٣٨)
يهدف النظام الضريبى وغيره من التكاليف العامة إلى تنمية موارد الدولة، وتحقيق العدالة الاجتماعية، والتنمية الاقتصادية.

لا يكون إنشاء الضرائب العامة، أو تعديلها، أو إلغاؤها، إلا بقانون، ولا يجوز الإعفاء منها إلا فى الأحوال المبينة فى القانون. ولا يجوز تكليف أحد أداء غير ذلك من الضرائب، أو الرسوم، إلا فى حدود القانون.

ويراعى فى فرض الضرائب أن تكون متعددة المصادر. وتكون الضرائب على دخول الأفراد تصاعدية متعددة الشرائح وفقا لقدراتهم التكليفية، ويكفل النظام الضريبى تشجيع الأنشطة الاقتصادية كثيفة العمالة، وتحفيز دورها فى التنمية الاقتصادية، والاجتماعية، والثقافية.

تلتزم الدولة بالارتقاء بالنظام الضريبى، وتبنى النظم الحديثة التى تحقق الكفاءة واليسر والإحكام فى تحصيل الضرائب. ويحدد القانون طرق وأدوات تحصيل الضرائب، والرسوم، وأى متحصلات سيادية أخرى، وما يودع منها فى الخزانة العامة للدولة.

وأداء الضرائب واجب، والتهرب الضريبى جريمة.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,39," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٣٩)
     الادخار واجب وطنى تحميه الدولة وتشجعه، وتضمن المدخرات، وفقا لما ينظمه القانون.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,40," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٤٠)
المصادرة العامة للأموال محظورة.
ولا تجوز المصادرة الخاصة، إلا بحكم قضائى.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,41," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٤١)
تلتزم الدولة بتنفيذ برنامج سكانى يهدف إلى تحقيق التوازن بين معدلات النمو السكانى والموارد المتاحة، وتعظيم الاستثمار فى الطاقة البشرية وتحسين خصائصها، وذلك فى إطار تحقيق التنمية المستدامة.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,42," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٤٢)
يكون للعاملين نصيب فى إدارة المشروعات وفى أرباحها، ويلتزمون بتنمية الإنتاج وتنفيذ الخطة فى وحداتهم الإنتاجية، وفقا للقانون. والمحافظة على أدوات الإنتاج واجب وطنى.

ويكون تمثيل العمال فى مجالس إدارة وحدات القطاع العام بنسبة خمسين فى المائة من عدد الأعضاء المنتخبين، ويكون تمثيلهم فى مجالس إدارات شركات قطاع الأعمال العام وفقا للقانون.

وينظم القانون تمثيل صغار الفلاحين، وصغار الحرفيين، بنسبة لا تقل عن ثمانين فى المائة فى مجالس إدارة الجمعيات التعاونية الزراعية والصناعية والحرفية.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,43," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٤٣)
تلتزم الدولة بحماية قناة السويس وتنميتها، والحفاظ عليها بصفتها ممراً مائياً دولياً مملوكاً لها، كما تلتزم بتنمية قطاع القناة، باعتباره مركزا اقتصاديا متميزاً.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,44," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٤٤)
تلتزم الدولة بحماية نهر النيل، والحفاظ على حقوق مصر التاريخية المتعلقة به، وترشيد الاستفادة منه وتعظيمها، وعدم إهدار مياهه أو تلويثها. كما تلتزم الدولة بحماية مياهها الجوفية، واتخاذ الوسائل الكفيلة
بتحقيق الأمن المائي ودعم البحث العلمى فى هذا المجال.

وحق كل مواطن في التمتع بنهر النيل مكفول، ويحظر التعدى على حرمه أو الإضرار بالبيئة النهرية، وتكفل الدولة إزالة ما يقع عليه من تعديات، وذلك على النحو الذى ينظمه القانون.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,45," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٤٥)
تلتزم الدولة بحماية بحارها وشواطئها وبحيراتها وممراتها المائية ومحمياتها الطبيعية.

ويحظر التعدى عليها، أوتلويثها، أو استخدامها فيما يتنافى مع طبيعتها، وحق كل مواطن فى التمتع بها مكفول، كما تكفل الدولة حماية وتنمية المساحة الخضراء فى الحضر، والحفاظ على الثروة النباتية والحيوانية والسمكية، وحماية المعرض منها للانقراض أو الخطر، والرفق بالحيوان، وذلك كله على النحو الذى ينظمه القانون.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,2,46," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثاني: المقومات الاقتصادية
مادة (٤٦)
لكل شخص الحق فى بيئة صحية سليمة، وحمايتها واجب وطنى. وتلتزم الدولة باتخاذ التدابير اللازمة للحفاظ عليها، وعدم الإضرار بها، والاستخدام الرشيد للموارد الطبيعية بما يكفل تحقيق التنمية المستدامة،
وضمان حقوق الأجيال القادمة فيها.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثاني: المقومات الاقتصادية
2,3,47," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثالث: المقومات الثقافية
مادة (٤٧)
تلتزم الدولة بالحفاظ على الهوية الثقافية المصرية بروافدها الحضارية المتنوعة.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثالث: المقومات الثقافية
2,3,48," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثالث: المقومات الثقافية
مادة (٤٨)
الثقافة حق لكل مواطن، تكفله الدولة وتلتزم بدعمه وبإتاحة المواد الثقافية بجميع أنواعها لمختلف فئات الشعب، دون تمييز بسبب القدرة المالية أو الموقع الجغرافى أو غير ذلك. وتولي اهتماماً خاصاً بالمناطق
النائية والفئات الأكثر احتياجاً.
وتشجع الدولة حركة الترجمة من العربية وإليها.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثالث: المقومات الثقافية
2,3,49," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الثالث: المقومات الثقافية
مادة (٤٩)
تلتزم الدولة بحماية الآثار والحفاظ عليها، ورعاية مناطقها، وصيانتها، وترميمها، واسترداد ما استولى عليه منها، وتنظيم التنقيب عنها والإشراف عليه.

ويحظر إهداء أو مبادلة أى شئ منها.

والاعتداء عليها والاتجار فيها جريمة لا تسقط بالتقادم.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الثالث: المقومات الثقافية
